Institucioni;2014;2015;2016;2017;2018;2019
Uni. i Prishtinës;4937;4096;3878;3938;2429;2668
Uni. i Europës Juglindore;7070;7840;7741;4618;4124;4209
Uni. i Tiranës;6247;6184;5804;6260;4374;4575
Kolegji AAB - Prishtinë;13949;21101;10358;7308;5274;4820
Uni. Bujqësor i Tiranës;5142;5142;5142;5444;5116;5082
Uni. Epoka - Tiranë;5700;5500;5100;5759;4652;5231
Uni. Politeknik i Tiranës;8716;7452;7219;6291;5468;5293
Uni. Shtetrorë i Tetovës;11334;8680;8149;6762;5642;5697
Uni. i Vlorës;6849;6849;6849;6849;6849;7032
Uni. New York i Tiranës;7007;7007;7007;7007;7007;7216
Kolegji UBT - Prishtinë;11513;12611;12838;15449;9011;8274
Uni. Europian i Tiranës;15145;15455;15297;12514;8805;8413
Uni. i Gjirokastrës;9011;9011;9011;9011;9011;9046
Uni. i Shkodrës;10132;12527;12506;14864;12337;11866
Kol. Universum - Prishtinë;15948;17801;17167;13175;12176;12188
Uni. i Mitrovcës ;16897;16897;16897;14909;15488;12627
Uni. i Prizrenit;21096;23113;23856;14590;16257;12627
Kolegji Iliria - Prishtinë;11687;15365;15314;16734;17619;17579
Kol. Heimerer;12165;12165;12165;12165;12165;18190
Kolegji Fama - Prishtinë;16767;16767;16767;16767;16767;18614
